№,Заголовок,URL,Символов,Строк,Дата сбора,Категория,Блоков кода,Таблиц
84,Обработка данных из Object Storage,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-spark__spark-s3?source-platform=Evolution,4305,143,2025-12-16T21:43:39,Общее,1,0
85,Подключение Foundation Models в VS Code,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-vscode?source-platform=Evolution,3969,113,2025-12-16T21:43:42,Общее,1,0
86,Подключение LLM-шлюза Litellm к Foundation Models,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-litellm?source-platform=Evolution,9712,296,2025-12-16T21:43:44,Общее,22,0
87,Подключение Managed ArenadataDB к Managed BI,https://cloud.ru/docs/tutorials-evolution/list/topics/arenadata-db__managed-bi?source-platform=Evolution,6106,260,2025-12-16T21:43:47,Общее,0,0
88,Подключение Trino к Iceberg,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-trino__trino-iceberg?source-platform=Evolution,5277,211,2025-12-16T21:43:49,Общее,12,0
89,Подключение Trino к S3,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-trino__trino-s3?source-platform=Evolution,6426,266,2025-12-16T21:43:52,Общее,16,0
90,Работа с данными в Managed ArenadataDB,https://cloud.ru/docs/tutorials-evolution/list/topics/arenadata-db__dbeaver?source-platform=Evolution,3022,119,2025-12-16T21:43:54,Общее,3,0
91,Работа с пользовательским образом,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-spark__spark-image-artifact-registry?source-platform=Evolution,4933,156,2025-12-16T21:43:56,Общее,3,0
92,Работа с таблицами Delta Lake,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-spark__spark-delta-lake?source-platform=Evolution,5340,169,2025-12-16T21:43:59,Общее,1,1
93,Работа с таблицами Iceberg,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-spark__spark-iceberg?source-platform=Evolution,5673,172,2025-12-16T21:44:01,Общее,1,1
94,Создание ассистентов и работа с документами в Chatbox на основе Foundation Model,https://cloud.ru/docs/tutorials-evolution/list/topics/foundation-models__connect-chatbox?source-platform=Evolution,4773,143,2025-12-16T21:44:03,Общее,2,0
95,Создание инференса для использования в Managed RAG,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-rag__create-inference?source-platform=Evolution,8587,344,2025-12-16T21:44:06,Общее,0,0
96,Создать бэкап в Object Storage по расписанию в ADBC,https://cloud.ru/docs/tutorials-evolution/list/topics/arenadata-db__adbc-backup?source-platform=Evolution,3796,135,2025-12-16T21:44:08,Общее,1,0
97,Чтение сообщений из топиков Managed Kafka®,https://cloud.ru/docs/tutorials-evolution/list/topics/managed-spark__spark-streaming?source-platform=Evolution,6072,158,2025-12-16T21:44:10,Общее,2,1
98,Связывание ресурсов в разных VPC внутри проекта,https://cloud.ru/docs/tutorials-evolution/list/topics/magic-router__link-vpcs-in-project?source-platform=Evolution,5733,245,2025-12-16T21:44:13,Сеть,0,0
99,Связывание ресурсов разных VPC из разных проектов,https://cloud.ru/docs/tutorials-evolution/list/topics/magic-router__link-vpcs-in-two-projects?source-platform=Evolution,9349,376,2025-12-16T21:44:15,Сеть,0,0
